,NAME,,dob,,phone,,plan_id,,
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Seamus Tanner,"','",1971-07-01,"','",9522262468,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Seamus Tanner','1971-07-01','9522262468','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Dorian Weiss,"','",1991-02-01,"','",9851582926,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Dorian Weiss','1991-02-01','9851582926','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Jenna Small,"','",1986-09-04,"','",8871978921,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Jenna Small','1986-09-04','8871978921','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Kimberly Calderon,"','",1986-01-20,"','",9817897051,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Kimberly Calderon','1986-01-20','9817897051','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Shiloh Martin,"','",1995-09-04,"','",6537972209,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Shiloh Martin','1995-09-04','6537972209','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Haiden Hays,"','",1998-09-14,"','",9517920525,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Haiden Hays','1998-09-14','9517920525','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Mercedes Ritter,"','",1979-06-06,"','",9621269345,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Mercedes Ritter','1979-06-06','9621269345','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Steve Hernandez,"','",1973-02-02,"','",7167300276,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Steve Hernandez','1973-02-02','7167300276','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Ace Meyers,"','",1992-04-09,"','",7949528147,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Ace Meyers','1992-04-09','7949528147','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Cecilia Blanchard,"','",1999-03-10,"','",9567442213,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Cecilia Blanchard','1999-03-10','9567442213','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Alayna Macdonald,"','",1987-09-27,"','",8276773018,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Alayna Macdonald','1987-09-27','8276773018','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Jonah Mckee,"','",1998-07-11,"','",7464778767,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Jonah Mckee','1998-07-11','7464778767','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Trace Mccarthy,"','",1974-06-12,"','",9349653753,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Trace Mccarthy','1974-06-12','9349653753','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Eden Massey,"','",1989-02-06,"','",7502318783,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Eden Massey','1989-02-06','7502318783','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Reece Koch,"','",1976-04-01,"','",8785429020,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Reece Koch','1976-04-01','8785429020','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Fiona Becker,"','",1997-05-22,"','",9600552514,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Fiona Becker','1997-05-22','9600552514','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Iliana Friedman,"','",2002-04-23,"','",8158237555,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Iliana Friedman','2002-04-23','8158237555','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Brielle Lee,"','",1991-09-07,"','",9570094290,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Brielle Lee','1991-09-07','9570094290','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Jameson Ellison,"','",1986-09-20,"','",8967562148,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Jameson Ellison','1986-09-20','8967562148','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Briley Oconnell,"','",1972-01-22,"','",8507008880,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Briley Oconnell','1972-01-22','8507008880','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Paige Fry,"','",1981-04-26,"','",8993952263,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Paige Fry','1981-04-26','8993952263','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Caroline Davidson,"','",1997-04-14,"','",8284860208,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Caroline Davidson','1997-04-14','8284860208','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Elias Bonilla,"','",2000-09-06,"','",9789556297,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Elias Bonilla','2000-09-06','9789556297','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Amir Jensen,"','",1971-01-27,"','",8849601659,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Amir Jensen','1971-01-27','8849601659','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Kiana Ray,"','",1987-02-23,"','",6895508118,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Kiana Ray','1987-02-23','6895508118','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",King Sanchez,"','",1997-01-07,"','",8893140097,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('King Sanchez','1997-01-07','8893140097','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Grayson Mcdowell,"','",1998-08-12,"','",8524022393,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Grayson Mcdowell','1998-08-12','8524022393','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Rosa Wood,"','",1992-06-01,"','",9613488681,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Rosa Wood','1992-06-01','9613488681','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Mattie Yoder,"','",1982-01-19,"','",8684454669,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Mattie Yoder','1982-01-19','8684454669','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Aaron Bradley,"','",1993-03-21,"','",9481194495,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Aaron Bradley','1993-03-21','9481194495','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Korbin Garrison,"','",1988-02-27,"','",8579395450,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Korbin Garrison','1988-02-27','8579395450','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Aiden Tyler,"','",1973-06-25,"','",7811544542,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Aiden Tyler','1973-06-25','7811544542','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Addisyn Bonilla,"','",1995-05-20,"','",8589387842,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Addisyn Bonilla','1995-05-20','8589387842','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Ibrahim Nielsen,"','",1977-01-12,"','",8631248801,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Ibrahim Nielsen','1977-01-12','8631248801','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Londyn Vang,"','",1975-06-27,"','",8162150656,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Londyn Vang','1975-06-27','8162150656','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Amaris Glenn,"','",1987-08-02,"','",7464038082,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Amaris Glenn','1987-08-02','7464038082','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Amani Booker,"','",1981-01-28,"','",6703490234,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Amani Booker','1981-01-28','6703490234','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Taliyah Gregory,"','",1980-09-01,"','",6948757180,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Taliyah Gregory','1980-09-01','6948757180','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Andres Keller,"','",1998-09-07,"','",9870370465,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Andres Keller','1998-09-07','9870370465','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Mason Jones,"','",1989-03-27,"','",8103751780,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Mason Jones','1989-03-27','8103751780','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Boston Ryan,"','",1985-05-21,"','",8761898428,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Boston Ryan','1985-05-21','8761898428','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Todd Franco,"','",1990-09-02,"','",6836556232,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Todd Franco','1990-09-02','6836556232','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Autumn Jefferson,"','",1996-06-01,"','",9745894633,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Autumn Jefferson','1996-06-01','9745894633','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Alden Estrada,"','",1994-04-11,"','",8913006506,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Alden Estrada','1994-04-11','8913006506','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Talia Valdez,"','",1998-07-11,"','",7676244394,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Talia Valdez','1998-07-11','7676244394','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Wendy Mcconnell,"','",1984-04-12,"','",6975769418,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Wendy Mcconnell','1984-04-12','6975769418','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Talia Floyd,"','",1974-06-05,"','",8877816950,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Talia Floyd','1974-06-05','8877816950','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Adriana Bryant,"','",1975-03-23,"','",8697276728,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Adriana Bryant','1975-03-23','8697276728','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Finley Hickman,"','",1994-03-21,"','",7549905393,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Finley Hickman','1994-03-21','7549905393','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Moriah Hogan,"','",1988-08-13,"','",6308835655,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Moriah Hogan','1988-08-13','6308835655','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Shea Fischer,"','",1994-07-15,"','",8355846227,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Shea Fischer','1994-07-15','8355846227','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Jay Roach,"','",1985-08-08,"','",7939058147,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Jay Roach','1985-08-08','7939058147','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Tyrese Campos,"','",1983-09-27,"','",7513761085,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Tyrese Campos','1983-09-27','7513761085','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Veronica Mccoy,"','",1988-04-14,"','",6256511964,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Veronica Mccoy','1988-04-14','6256511964','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Johnathan Yang,"','",1986-03-06,"','",6392769258,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Johnathan Yang','1986-03-06','6392769258','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Quinten Orozco,"','",1999-09-18,"','",6111162932,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Quinten Orozco','1999-09-18','6111162932','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Trenton Santana,"','",2002-01-16,"','",9706737182,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Trenton Santana','2002-01-16','9706737182','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Isabelle Travis,"','",2001-06-15,"','",7358954037,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Isabelle Travis','2001-06-15','7358954037','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Ashanti Elliott,"','",1971-09-19,"','",9455238497,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Ashanti Elliott','1971-09-19','9455238497','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Angelina Gentry,"','",1973-09-14,"','",7144032795,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Angelina Gentry','1973-09-14','7144032795','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Brice Brooks,"','",1999-07-16,"','",8251643052,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Brice Brooks','1999-07-16','8251643052','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Clark Case,"','",1976-07-11,"','",6797604497,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Clark Case','1976-07-11','6797604497','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Kaitlin Day,"','",1971-03-27,"','",9776798096,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Kaitlin Day','1971-03-27','9776798096','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Dania King,"','",1979-05-08,"','",9319188209,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Dania King','1979-05-08','9319188209','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Ashly Reese,"','",1978-04-27,"','",9143364708,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Ashly Reese','1978-04-27','9143364708','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Ulises Knight,"','",1975-07-10,"','",8692218613,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Ulises Knight','1975-07-10','8692218613','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Caitlyn Mcbride,"','",1999-09-22,"','",6644826611,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Caitlyn Mcbride','1999-09-22','6644826611','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Saul Higgins,"','",1995-02-03,"','",8741579340,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Saul Higgins','1995-02-03','8741579340','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Alyvia Mcguire,"','",1999-03-19,"','",9182754507,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Alyvia Mcguire','1999-03-19','9182754507','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Xander Garrison,"','",1984-06-14,"','",9419177286,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Xander Garrison','1984-06-14','9419177286','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Raiden Henson,"','",1989-05-07,"','",9804364180,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Raiden Henson','1989-05-07','9804364180','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Mario Kelley,"','",1972-05-15,"','",9907388702,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Mario Kelley','1972-05-15','9907388702','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Allan Wheeler,"','",1984-06-20,"','",8723907639,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Allan Wheeler','1984-06-20','8723907639','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Makaila Carlson,"','",1995-02-01,"','",7400862845,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Makaila Carlson','1995-02-01','7400862845','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Dana Bean,"','",1979-04-05,"','",6491797816,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Dana Bean','1979-04-05','6491797816','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Genesis Rios,"','",1973-01-10,"','",7349471414,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Genesis Rios','1973-01-10','7349471414','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Damian Roberson,"','",1981-08-10,"','",7923537532,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Damian Roberson','1981-08-10','7923537532','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Sara Watson,"','",1996-01-11,"','",9957364760,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Sara Watson','1996-01-11','9957364760','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Marlee Brewer,"','",1973-03-20,"','",9565740788,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Marlee Brewer','1973-03-20','9565740788','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Casey Stephenson,"','",1973-08-28,"','",7811877864,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Casey Stephenson','1973-08-28','7811877864','INT600' );"
